,school_name,address,score,district,grade,lat,long
547,Travis County J J A E P,"1111 West 6th Street, Austin, TX 78703",,Public district,K-12,30.271564,-97.756538
548,Uphaus Early Childhood Center,"5200 Freidrich Lane, Austin, TX 78744",,Public district,PK-K,30.2017379,-97.7558587
549,Austin City Academy,"P.O. Box 92737, Austin, TX 78709",,Private,"K-3, 5-10, 12",30.23,-97.85
550,Austin Montessori Great Northern Campus,"5006 Sunset Trail, Austin, TX 78745",,Private,PK-3,30.2276727,-97.8050501
551,Capitol City Baptist Church,"1300 Redd St, Austin, TX 78745",,Private,K-6,30.2238376,-97.7822945
552,Primrose School Of Four Points,"6606 Sitio Del Rio Boulevard, Austin, TX 78730",,Private,PK-K,30.391491,-97.8432546
553,Oakmont School,"1510 Morrow St, Austin, TX 78757",,Private,K-12,30.3482305,-97.7245509
554,The Goddard School - Austin,"2111 Frate Barker Road, Austin, TX 78748",,Private,PK,30.1490379,-97.8416879
555,Primrose School-Shady Hollow,"12341 Brodie Lane, Austin, TX 78748",,Private,PK,30.1490055,-97.8544471
556,Primrose School of Southwest Austin,"4920 Davis Lane, Austin, TX 78749",,Private,PK,30.2067935,-97.8588042
557,The Magnolia School,"2903 Ranch Road 620, Austin, TX 78734",,Private,PK-8 & ungraded,30.3907089,-97.938702
558,George Washington University Online High School ,"1701 N. Congress Avenue , Austin, TX 78701",,Private,12-Sep,30.279167,-97.7379783
559,Clearview Sudbury School,"1507 Wilshire Blvd., Austin, TX 78722",,Private,K-12,30.295849,-97.7108374
560,Veritas Academy,"4220 Monterey Oaks Blvd., Austin, TX 78749",,Private,K-12,30.2296304,-97.832448
561,Adult Transition Services,"1020 Walsh Tarlton Lane, Austin, TX 78746",,Public district,12,30.2729502,-97.8019324
562,Dobie Pk Center,"1200 East Rundberg Lane, Austin, TX 78753",,Public district,PK,30.354549,-97.679377
563,Dell Children's Medical Center,"4900 Mueller Boulevard, Austin, TX 78723",,Public district,PK-12,30.303579,-97.7071973
564,The Excel Center (For Adults),"1015 Norwood Park Boulevard, Austin, TX 78753",,Public charter,12-Sep,30.339098,-97.694073
565,Wee Wisdom Preschool,"9905 Anderson Mill Rd., Austin, TX 78750",,Private,PK,30.4452331,-97.7967141
566,YPW Spanish Immersion School,"3640 Bee Caves Rd, Austin, TX 78746",,Private,PK,30.2793378,-97.8059229
567,St Dominic Savio Catholic High School,"9300 Neenah Avenue, Austin, TX 78717",,Private,12-Sep,30.4881991,-97.761839
568,The Joule School,"3402 Little Elm Trail, Austin, TX 78752",,Private,PK-6,30.4626461,-97.8172921
569,Lake Hills Montessori Bee Cave,"3930 Ranch Road 620 South, Austin, TX 78738",,Private,PK,30.3117071,-97.9496729
570,Brentwood Oaks Development Preschool,"11908 North Lamar Blvd, Austin, TX 78753",,Private,PK,30.3906252,-97.6825188
571,Country Home Learning Center,"13120 U.S. Hwy 183 North, Austin, TX 78750",,Private,PK,30.4401795,-97.781688
572,International School of Texas,"4402 Hudson Bend Road, Austin, Texas 78734, Austin, TX 78734",,Private,PK-6,30.404557,-97.927911
573,Grace Garden Pre-School,"2140 Allandale Road, Austin, TX 78756",,Private,PK,30.3354545,-97.7413726
574,Ymca Mothers Day Out,"5807 McNeil Drive, Austin, TX 78729",,Private,PK,30.4460206,-97.7335313
575,Ymca A/S Child Care Center-Caraway,"1402 East Cesar Chavez Street, Austin, TX 78702",,Private,PK,30.259313,-97.7302068
576,Mias Day Care,"6606 Sunstrip Drive, Austin, TX 78745",,Private,PK,30.1954072,-97.7831881
577,Relief Nursery-Central Texas,"2203 E Martin Luther King Jr Blvd, Austin, TX 78702",,Private,PK,30.2800786,-97.7182464
578,Apples Greatest Beginnings 3,"8601 Vertex Boulevard, Austin, TX 78747",,Private,PK,30.1561136,-97.7520704
579,Daily Bread Child Learning Center,"1104 East 12th Street, Austin, TX 78702",,Private,PK,30.2727152,-97.7285969
580,Nature's Way Pre-School,"301 Nature Center Drive, Austin, TX 78746",,Private,PK,30.2721352,-97.774959
581,Yours Mine & Our Kids Day Care,"510 Clarke Street, Austin, TX 78745",,Private,PK,30.2255972,-97.7693863
582,Four Seasons Community Ps,"12504 Tomanet Trail, Austin, TX 78727",,Private,PK,30.4193263,-97.7006087
583,Kid Spa Day Care-Austin,"5700 West Slaughter Lane #380, Austin, TX 78749",,Private,PK,30.2017357,-97.868314
584,Maplewood Extend A Care Dc,"3808 Maplewood Avenue, Austin, TX 78722",,Private,PK,30.293337,-97.714901
585,Habibis Hutch Pre-School,"2004 Bert Avenue, Austin, TX 78704",,Private,PK,30.2333798,-97.7867599
586,Little Wonders Child Care Center 3,"9414 Parkfield Drive, Austin, TX 78758",,Private,PK,30.3686972,-97.7068425
587,Escuelita Dance Day Care,"2302 Western Trails Boulevard, Austin, TX 78745",,Private,PK,30.2311373,-97.7933073
588,Sunshine Educational Academy,"1808 Cedar Bend Drive, Austin, TX 78758",,Private,PK,30.4090753,-97.6937112
589,Christies Learning Academy,"3506 Quiette Drive, Austin, TX 78754",,Private,PK,30.3347957,-97.6526891
590,Mitchell Day Care,"12912 Margit Drive, Austin, TX 78729",,Private,PK,30.4463381,-97.7603504
591,Vinklarek Day Care,"8806 Teresina Drive, Austin, TX 78749",,Private,PK,30.2003777,-97.8518742
592,Grandmas Honeys Child Care Center,"202 Prince Drive, Austin, TX 78752",,Private,PK,30.3415358,-97.7069071
593,Heaven Sent Child Care Center,"10526 Bilbrook Place, Austin, TX 78748",,Private,PK,30.1588923,-97.8157683
594,Angela's Day Care,"6100 Woodhue Drive, Austin, TX 78745",,Private,PK,30.2077334,-97.7943473
595,Loving Learning Montessori Dc,"1345 Neans Drive, Austin, TX 78758",,Private,PK,30.372751,-97.7034235
596,Tia's Kids Cabin Day Care,"2221 Klattenhoff Drive, Austin, TX 78728",,Private,PK,30.4415321,-97.6828351
597,Mr Darcy's Class,"8805 Tara Lane, Austin, TX 78737",,Private,6-Jan,30.2322272,-97.9179681
598,Pint Size Playhouse Day Care,"9827 Briar Ridge Drive, Austin, TX 78748",,Private,PK,30.1780115,-97.830599
599,Rosies Day Care 3,"5807 Wellington Drive, Austin, TX 78723",,Private,PK,30.3109982,-97.6877264
600,Stepping Stones School,"1710 Richcreek Road, Austin, TX 78757",,Private,PK,30.3473862,-97.7271999
601,Kinder Care Learning Center,"610 Emerald Wood Drive, Austin, TX 78745",,Private,PK,30.2132049,-97.7787758
602,Bryker Woods Extend-A-Care,"Po Box 6340, Austin, TX 78762",,Private,PK,30.2616427,-97.7221996
603,Wooten Extend-A-Care Dc,"1406 Dale Drive, Austin, TX 78757",,Private,PK,30.352928,-97.7191662
604,Pillow Extend-A-Care,"Po Box 6340, Austin, TX 78762",,Private,PK,30.2616427,-97.7221996
605,Woolridge Extend A Care,"1412 Norseman Terrace, Austin, TX 78758",,Private,PK,30.3649553,-97.7099315
606,Club Z Day Care,"12741 Research Boulevard, Austin, TX 78759",,Private,PK,30.4339535,-97.7666575
607,Kristens Kids Day Care,"1911 Mirabeau Street, Austin, TX 78727",,Private,PK,30.4175728,-97.6928832
608,Kiddie Garden Learning Center,"8905 Splitarrow Drive, Austin, TX 78717",,Private,PK,30.5012041,-97.7441512
609,Wanna Play Day Care,"14010 U.S. 183 #535, Austin, TX 78717",,Private,PK,30.4736815,-97.8007712
610,University Of Texas Child Care Center,"1925 San Jacinto Boulevard, Austin, TX 78712",,Private,PK,30.2806764,-97.732507
611,School In The Hills,"2900 North Quinlan Park Road #400, Austin, TX 78732",,Private,PK-K,30.3696494,-97.8929695
612,Pee Dee Petes Playhouse Child Care Center,"11800 North Interstate Highway 35, Austin, TX 78753",,Private,PK,30.3841305,-97.6742143
613,Overton Extend A Care Dc,"7201 Colony Loop Drive, Austin, TX 78724",,Private,PK,30.3001872,-97.6367011
614,Hillcrest Extend A Care Child Care Center,"6910 East William Cannon Drive, Austin, TX 78744",,Private,PK,30.1654102,-97.7290982
615,Gullett Pre-School,"6310 Treadwell Boulevard, Austin, TX 78757",,Private,PK,30.3436469,-97.7487409
616,Capital City Kids Day Care 1,"13107 Dessau Road #300, Austin, TX 78754",,Private,PK,30.3988993,-97.6392958
617,Blazier Extend A Care Dc,"8601 Vertex Boulevard, Austin, TX 78747",,Private,PK,30.1561136,-97.7520704
618,Ta Brown Head Start,"505 West Anderson Lane, Austin, TX 78752",,Private,PK-K,30.344768,-97.7103433
619,Blessing Beyond,"2102 Rosewood Avenue, Austin, TX 78702",,Private,PK,30.2701673,-97.7169277
620,Capital Metro Cc & Learning,"624 North Pleasant Valley Road, Austin, TX 78702",,Private,PK,30.2590185,-97.7105755
621,Two Steps Ahead Learning Center,"208 East Live Oak Street, Austin, TX 78704",,Private,PK,30.2412999,-97.751025
622,Clubhouse For Kids Llc,"3601 West William Cannon Drive, Austin, TX 78749",,Private,PK,30.2149199,-97.8334484
623,Milwood Pre-School,"12217 Cassady Drive, Austin, TX 78727",,Private,PK,30.4214596,-97.7194715
624,St John Neuman Cath Pre-School,"5455 Bee Caves Road, Austin, TX 78746",,Private,PK,30.290578,-97.8237919
625,West Oak Woods Baptist Pre-School,"Po Box 150098, Austin, TX 78715",,Private,PK,30.21,-97.8
626,Cornerstone Mdo Child Care Center,"14829 Cordero Drive, Austin, TX 78717",,Private,PK,30.4898,-97.76634
627,International Mont House Of Ch,"11124 Jollyville Road, Austin, TX 78759",,Private,PK-K,30.4071319,-97.7482817
628,Extend A Care Ortega,"1135 Garland Avenue, Austin, TX 78721",,Private,PK,30.2699957,-97.6842797
629,Lonestar Kids,"1510 Alegria Road, Austin, TX 78757",,Private,PK,30.3354459,-97.7324132
630,Lake Travis Child Care Center,"15303 Kollmeyer Drive, Austin, TX 78734",,Private,PK,30.3705875,-97.9455567
631,Tree Tops Too Learning Center,"1700 West 32nd Street, Austin, TX 78703",,Private,PK,30.304509,-97.7537908
632,Grant Cdc Head Start,"1701 Kramer Lane, Austin, TX 78758",,Private,PK,30.3851973,-97.7042093
633,Little Wonders Child Care Center,"2010 West Koenig Lane, Austin, TX 78756",,Private,PK-K,30.3345025,-97.7386445
634,Little Explorers Child Care,"2313 Teri Road, Austin, TX 78744",,Private,PK,30.1993355,-97.7482866
635,Tarrytown Childrens Center,"2614 Exposition Boulevard, Austin, TX 78703",,Private,PK,30.3021446,-97.7663357
636,Leaps N Bounds,"7010 Village Center Drive, Austin, TX 78731",,Private,PK,30.352613,-97.7569299
637,Extend A Care Head Start-Galindo,"3800 South 2nd Street, Austin, TX 78704",,Private,PK,30.2295854,-97.771885
638,Patton Child Development Center,"6001 Westcreek Drive, Austin, TX 78749",,Private,PK,30.2317997,-97.8455255
639,Happy Hearts Bilingual Child Care Center I,"6615 Manchaca Road, Austin, TX 78745",,Private,PK-K,30.2059351,-97.8059699
640,Doss Elementary Third Base Program,"3908 Avenue B #1300, Austin, TX 78751",,Private,PK,30.3040718,-97.7354733
641,Brodie Cdc Head Start,"8105 Brodie Lane, Austin, TX 78745",,Private,PK,30.2020076,-97.8374771
642,Austin Childrens Montesorri,"8807 Manchaca Road, Austin, TX 78748",,Private,PK-K,30.1836922,-97.8170433
643,Montopolis Friendship Center,"Vargas Road, Austin, TX 78741",,Private,PK-K,30.2326253,-97.6947224
644,Ochester Learning Center,"10500 Jollyville Road, Austin, TX 78759",,Private,PK,30.3982338,-97.7499813
645,Westlake Child Care,"3924 Bee Caves Road, Austin, TX 78746",,Private,PK,30.2821608,-97.8092976
646,Rosewoodzaragosa Head Start,"2800 Webberville Road, Austin, TX 78702",,Private,PK,30.2653394,-97.7105738
647,Kids Campus Learning Center,"5710 McCarty Lane, Austin, TX 78749",,Private,PK-K,30.2321445,-97.8558824
648,Blanton Head Start,"5408 Westminster Drive, Austin, TX 78723",,Private,PK,30.3069305,-97.6906309
649,Tutor Time Canyon Creek Cc,"10321 Boulder Lane, Austin, TX 78726",,Private,PK,30.4292436,-97.8386317
650,Johnson Day Care,"4811 Cottonwood Street, Austin, TX 78744",,Private,PK,30.1956892,-97.7331911
651,Learn & Play Day Care,"8905 Bridgewood Trail, Austin, TX 78729",,Private,PK,30.4581618,-97.7724773
652,Abc Childrens Learning Center,"12338 Cahone Trail, Austin, TX 78729",,Private,PK,30.4412597,-97.7659388
653,Lauras Day Care,"8402 Roan Lane, Austin, TX 78736",,Private,PK,30.2380326,-97.8977835
654,Mrs Tabs Day Care,"3007 Norwood Hill Road, Austin, TX 78723",,Private,PK,30.2989565,-97.6804124
655,Tonis Fun Learning Center,"9102 Sautelle Lane, Austin, TX 78749",,Private,PK,30.2074944,-97.8786521
656,Maria's Day Care Center,"8914 Georgian Drive, Austin, TX 78753",,Private,PK,30.356985,-97.6961461
657,Capital City Kids 4 Dc & Lc,"13107 Dessau Road, Austin, TX 78754",,Private,PK,30.3988993,-97.6392958
658,Zachgo Day Care,"10213 Stellar Cove, Austin, TX 78739",,Private,PK,30.1919007,-97.8759632
659,Parmer Children's Mont School,"Po Box 160335, Austin, TX 78716",,Private,PK,30.2730973,-97.798582
660,South Austin Karate Day Care,"10203 Old Manchaca Road, Austin, TX 78748",,Private,PK,30.1727229,-97.8302336
661,Noahs Ark Pre-Sch-Park Hills,"900 S Mo Pac Expy, Austin, TX 78746",,Private,PK,30.2675908,-97.782197
662,St Michaels Episcopal Day Care,"1500 North Capital of Texas Highway, Austin, TX 78746",,Private,PK,30.3191134,-97.8231473
663,Primrose School-Sw Austin,"12341 Brodie Lane, Austin, TX 78748",,Private,PK,30.1490055,-97.8544471
664,Oak Hill Spanish Learning Center,"6900 Raccoon Run, Austin, TX 78736",,Private,PK,30.2435938,-97.889817
665,Teresas Home Day Care,"4704 Alta Loma Drive, Austin, TX 78749",,Private,PK,30.2071173,-97.8550646
666,Room To Grow Day Care,"1807 Running Brook Drive, Austin, TX 78723",,Private,PK,30.3055482,-97.6945959
667,My Wiggles & Giggles Child Care Center,"8411 Tyhurst Drive, Austin, TX 78749",,Private,PK,30.2121746,-97.8677957
668,Baby Love Child Care Center,"4504 Bremner Drive, Austin, TX 78749",,Private,PK,30.1967656,-97.859437
669,Green Sprout Pre-School,"1302 Berkshire Drive, Austin, TX 78723",,Private,PK,30.3180602,-97.6981984
670,Austin Montessori School-A/S Pgrm,"5006 Sunset Trail, Austin, TX 78745",,Private,PK,30.2276727,-97.8050501
671,Academic Beginnings Cdc,"Po Box 19497, Austin, TX 78760",,Private,PK,30.214026,-97.7342611
672,Manor Child Care Center,"818 East 53rd Street, Austin, TX 78751",,Private,PK,30.3138918,-97.7141277
673,Children's Courtyard Child Care Center,"10625 Bonaventure Drive, Austin, TX 78730",,Private,PK,30.3905938,-97.8468637
674,Growing Tree Child Care Center,"2807 Robinson Avenue, Austin, TX 78722",,Private,PK,30.2866459,-97.7229457
675,Open Door Pre-Sch-M Station,"2918 East Martin Luther King Junior Boulevard, Austin, TX 78702",,Private,PK,30.2822234,-97.7076992
676,Eco-Kids Child Care Center,"8201 Cross Park Drive, Austin, TX 78754",,Private,PK,30.330679,-97.6669577
677,Parmer Lane Pre-School Center,"12410 Tomanet Trail, Austin, TX 78758",,Private,PK,30.4179326,-97.7015334
678,Academy Child Care Center-Howard Lane,"104 West Howard Lane, Austin, TX 78753",,Private,PK,30.41811,-97.657717
679,Get Me Ready Learning Center,"3605 Adelphi Lane, Austin, TX 78727",,Private,PK,30.42049,-97.714464
680,Empower Pre-School Center,"1825 Fortview Road #105, Austin, TX 78704",,Private,PK,30.230003,-97.7868333
681,Plug & Play Child Care Center-Austin,"13343 North Highway 183 #200, Austin, TX 78750",,Private,PK,30.4458356,-97.7854553
682,Abacus Pre-School Center-Austin,"14115 Avery Ranch Boulevard, Austin, TX 78717",,Private,PK-K,30.4938285,-97.788181
683,Papa & Nanas Child Care Center,"11301 Hornsby Street, Austin, TX 78753",,Private,PK,30.3803451,-97.6831387
684,Academia Pre-School Center,"1511 South Congress Avenue, Austin, TX 78704",,Private,PK,30.2481709,-97.7497155
685,Bais Menachem Day Care Center,"2127 West Parmer Lane, Austin, TX 78727",,Private,PK,30.4165878,-97.698205
686,Childrens Discovery Child Care Center,"3515 Convict Hill Road, Austin, TX 78749",,Private,PK,30.2109996,-97.8330463
687,Kid-E-Shack Child Care Center-Lakeway,"2 Heatherbloom Lane, Austin, TX 78738",,Private,PK,30.342989,-97.994266
688,Susys Day Care Center,"308 West William Cannon Drive, Austin, TX 78745",,Private,PK,30.1950417,-97.7836689
689,All His Children Pre-School Center,"9725 Circle Drive, Austin, TX 78736",,Private,PK,30.2442199,-97.9251495
690,Renaissance Academy,"14401 Owen-Tech Boulevard, Austin, TX 78728",,Private,PK,30.4349122,-97.6704568
691,Stepping Stone Pre-School Xiv,"9405 Brodie Lane, Austin, TX 78748",,Private,PK,30.1900333,-97.8447268
692,Crestview United Methodist Ps,"1300 Morrow Street, Austin, TX 78757",,Private,PK,30.3476405,-97.7231782
693,Rosewood Oaks Primary Child Care Center,"2600 Rosewood Avenue, Austin, TX 78702",,Private,PK,30.2726873,-97.7062273
694,Kids Ways Day Care Center,"9422 Brown Lane, Austin, TX 78754",,Private,PK,30.3500573,-97.6707877
695,Victory Christian Child Care Center,"7625 North Interstate 35, Austin, TX 78752",,Private,PK,30.3368377,-97.698045
696,Stepping Stone Pre-School Ix,"8121 Shoal Creek Boulevard, Austin, TX 78757",,Private,PK,30.3654055,-97.7385282
697,Childs Way Creative Learning Center,"7212 Oak Meadow Drive, Austin, TX 78736",,Private,PK,30.2346198,-97.879031
698,Westlake Methodist Pre-School Center,"1460 Redbud Trail, Austin, TX 78746",,Private,PK,30.2951027,-97.821186
699,Athena Montessori Academy,"1503 Morgan Lane, Austin, TX 78704",,Private,PK-K,30.2292159,-97.7809869
700,Austin's Pioneer Montessori School,"11124 Jollyville Road, Austin, TX 78759",,Private,PK-K,30.4071319,-97.7482817
701,Bright Horizons Family Solutions,"6111 Davis Lane, Austin, TX 78749",,Private,PK-K,30.2109326,-97.87572
702,Children's Courtyard,"4213 Spicewood Springs Road, Austin, TX 78759",,Private,PK-K,30.370336,-97.756713
703,Children's Courtyard,"5914 West William Cannon Drive, Austin, TX 78749",,Private,PK-K,30.2289428,-97.8615648
704,Hope Children's Center,"11512 Olson Drive, Austin, TX 78750",,Private,K,30.4453339,-97.8062206
705,International Montessori House,"7020 Village Center Drive, Austin, TX 78731",,Private,PK-1,30.3528002,-97.7566807
706,Primavera Montessori School,"1934 Berkeley Avenue, Austin, TX 78745",,Private,PK-5,30.2084629,-97.8036585
707,Primrose School Of Shady Hollow,"12341 Brodie Lane, Austin, TX 78748",,Private,PK-K,30.1490055,-97.8544471
708,Primrose School Of Southwest Austin,"4920 Davis Lane, Austin, TX 78749",,Private,PK-K,30.2067935,-97.8588042
709,Prodigy Child Development Center,"2300 Cedar Bend Drive, Austin, TX 78758",,Private,PK-K,30.4126082,-97.7025539
710,Scotish Rite Dyslexia Center,"12871 U.S. 183, Austin, TX 78750",,Private,5,30.4362112,-97.7719985
711,Victory Christian Center School,"7625 South Interstate Highway 35, Austin, TX 78752",,Private,PK-12,30.3368377,-97.698045
712,Athlos Leadership Academy- Austin,"3711 Shoreline Drive, Austin, TX 78728",,Public charter,PK-9,30.4575574,-97.6880011
713,Austin STEM Academy,"3701 Kerbey Ln, Austin, TX 78731",,Private,PK,30.3075535,-97.7502937
714,Lake Travis STEM Academy,"10625 RR 620 North, Austin, TX 78726",,Private,K-8,30.445681,-97.831311
715,Indigo childcare,"4314 clarno dr, austin, TX 78749",,Private,PK,30.2111738,-97.8460745
716,Fusion Academy Austin,"4701 Bee Caves Road, Austin, TX 78746",,Private,12-Jun,30.2875407,-97.8163028
717,Altamira Academy,"6405 Interstate 35 Frontage Road, Austin, TX 78744",,Public charter,PK-2,30.1914238,-97.7671351
718,Long-View Micro-School,"1201 West 24th Street, Austin, TX 78705",,Private,5-Feb,30.2881663,-97.7507696
719,"The Children's Courtyard  of Austin, TX","11718 Metric Blvd, Austin, TX 78758",,Private,PK-K,30.398058,-97.705804
720,Ko School + Incubator,"1701 Toomey Road, Austin, TX 78704",,Private,12-Jun,30.2644335,-97.7616436
721,The Goddard School - Steiner Ranch,"5145 North FM 620 Building H, Austin, TX 78732",,Private,PK-K,30.3877896,-97.8849583
722,Austin Isd Child Development Center,"1111 West 6th Street, Austin, TX 78703",,Public district,PK,30.271564,-97.756538
723,Austin Oaks,"1407 West Stassney Lane, Austin, TX 78745",,Public charter,12-Jun,30.2113495,-97.7926913
724,Idea Rundberg Academy,"9504 North Interstate 35 Frontage Road, Austin, TX 78753",,Public charter,K-2,30.3609586,-97.6878049
725,AESA Prep Academy,"14101 Canonade, Austin, TX 78737",,Private,12-Apr,30.199084,-98.00528
726,Abrome,"10201 Aqua Azul Ct, Austin, TX 78733",,Private,"K-8, 10-12",30.3351773,-97.8764868
727,Challenger School - Pond Springs,"13015 Pond Springs Road, Austin, TX 78729",,Private,PK-K,30.4410916,-97.7729022
728,Challenger School - Avery Ranch,"15101 Avery Ranch Boulevard, Austin, TX 78717",,Private,PK-5,30.4977914,-97.7731229
729,4Points Academy,"5145 Ranch Road 620 North, Austin, TX 78732",,Private,9-Jan,30.3895467,-97.8844814
730,Joe Lee Johnson Elementary School,"2800 Sauls Drive, Austin, TX 78728",,Public district,K-5,30.4565503,-97.6817466
731,Emergent Academy,"1044 Liberty Park Drive, Austin, TX 78746",,Private,"1-5, 7-8",30.2668719,-97.7899164
732,Xplor Circle C,"5915 La Crosse Avenue, Austin, TX 78739",,Private,PK-K,30.191894,-97.8828981
733,Xplor Anderson Mill,"9706 Anderson Mill Road, Austin, TX 78750",,Private,PK,30.4494756,-97.7935274
734,Elements Preschool,"1503 W Koenig Ln, Austin, TX 78756",,Private,PK,30.3312413,-97.7328215