,school_name,address,score,grade
232,Hope Lutheran School,"6414 N Hampton Dr, Austin, TX 78723",N/A,Private K-7
233,St. Paul Lutheran School,"3407 Red River Street, Austin, TX 78705",N/A,Private PK-8
234,Renaissance Academy,"14401 Owen-Tech Boulevard, Austin, TX 78728",N/A,Private PK-12
235,Holy Word Christian Academy,"10601 Bluff Bend Drive, Austin, TX 78753",N/A,Private K-8
236,All Saints' Episcopal School,"209 West 27th Street, Austin, TX 78705",N/A,Private PK-K
237,The Oaks School,"1407 W Stassney Lane, Austin, TX 78745",N/A,Private 6-12
238,Austin Montessori School,"5006 Sunset Trail, Austin, TX 78745",N/A,Private PK-9
239,Austin SDA Junior Academy,"301 W Anderson Ln, Austin, TX 78752",N/A,Private K-10
240,Kirby Hall School,"306 W 29th St, Austin, TX 78705",N/A,Private PK-12
241,Maranatha Christian Academy,"8210 S 1st Street, Austin, TX 78748",N/A,Private K-10
242,St. Michael's Catholic Academy,"3000 Barton Creek Blvd, Austin, TX 78735",N/A,Private 9-12
243,St. Theresas Catholic School,"4311 Small Drive, Austin, TX 78731",N/A,Private PK-8
244,Bannockburn Christian Academy,"7100 Brodie Ln, Austin, TX 78745",N/A,Private PK-5
245,The Children's School,"2825 Hancock Drive, Austin, TX 78731",N/A,Private PK-4
246,Primavera Montessori School,"6405 Manchaca Rd., Austin, TX 78745",N/A,Private PK-4
247,Our Savior Lutheran School,"1513 East Yager Lane, Austin, TX 78753",N/A,Private PK-5
248,Strickland School,"P.O. Box 150413, Austin, TX 78715",N/A,Private PK-8
249,Austin Waldorf School,"8700 South View Road, Austin, TX 78737",N/A,Private K-12
250,Parkside Community School,"3702 W. Slaughter Lane , Austin, TX 78748",N/A,Private PK-6
251,Austin Children's Montessori,"8807 Manchaca Road, Austin, TX 78748",N/A,Private PK-1
252,Lake Hills Montessori Austin Campus,"600 Cuernavaca Drive North, Austin, TX 78733",N/A,Private PK-K
253,Hill Country Christian School,"12124 Ranch Rd 620 N, Austin, TX 78750",N/A,Private PK-12
254,Bais Menachem Hebrew Academy,"2127 West Parmer Lane, Austin, TX 78727",N/A,Private PK-6
255,Paragon Prep School,"2001 West Koenig Lane, Austin, TX 78756",N/A,Private K-8
256,Austin Jewish Academy,"7300 Hart Lane, Austin, TX 78731",N/A,Private K-8
257,Good Shepherd Episcopal School,"2206 Exposition Boulevard, Austin, TX 78703",N/A,Private PK-K
258,The Isely School,"2301 Shoal Creek Boulevard, Austin, TX 78705",N/A,Private K-3
259,Montessori House Of Chldr,"1601 Brackenridge Street, Austin, TX 78704",N/A,Private PK
260,The Montessori Center,"4108 Avenue H, Austin, TX 78751",N/A,Private PK-K
261,Austin Village Academy,"4105 Manchaca Rd., Austin, TX 78704",N/A,Private K-9
262,Hyde Park Baptist Elementary School,"3901 Speedway, Austin, TX 78751",N/A,Private K-5
263,Hyde Park Baptist School,"3901 Speedway, Austin, TX 78751",N/A,Private K-12
264,Huntington-Surrey High School,"5206 Balcones Drive, Austin, TX 78756",N/A,Private 8-12
265,Holy Family Catholic School,"9400 Neenah Avenue, Austin, TX 78717",N/A,Private PK-8
266,St Matthew's Episcopal School,"8134 Mesa Drive, Austin, TX 78759",N/A,Private PK-K
267,Austin Peace Academy,"5110 Manor Road, Austin, TX 78723",N/A,Private PK-12
268,Praise Christian Academy,"5800 E Martin Luther King Jr, Austin, TX 78721",N/A,Private PK-6
269,St. Gabriel's Catholic School,"2500 Wimberly Ln, Austin, TX 78735",N/A,Private PK-8
270,Brentwood Christian School,"11908 N Lamar Blvd, Austin, TX 78753",N/A,Private PK-12
271,Settlement Home,"1600 Payton Gin Road, Austin, TX 78758",N/A,Public charter 6-12
272,Phoenix Academy,"400 West Live Oak Street, Austin, TX 78704",N/A,Public district 6-12
273,K12 International Academy,"1701 N. Congress Avenue, Austin, TX 78701",N/A,Private K-12
274,University High School,"2007 University Avenue, Austin, TX 78705",N/A,Public charter 9-12
275,North Austin Montessori School,"12400 Amherst Drive, Austin, TX 78727",N/A,Private PK-K
276,George M Kometzky School,"8701 North Mopac Expressway, Austin, TX 78759",N/A,Public charter K-12
277,Texas School For The Blind,"1100 West 45th Street, Austin, TX 78756",N/A,Public district 1-12
278,University of Texas at Austin High School,"2901 N. IH35, Austin, TX 78722, Austin, TX 78713",N/A,Public district 9-12
279,Westlake Alternative School,"601 Camp Craft Road, Austin, TX 78746",N/A,Public district 9-12
280,Delco Primary School,"12900 Dessau Road, Austin, TX 78754",N/A,Public district PK-2
281,Kamico Academy,"4413 Spicewood Springs Rd, Austin, TX 78759",N/A,Private K-6
282,Austin International School,"4001 Adelphi Lane, Austin, TX 78727",N/A,Private PK-5
283,St Francis School,"300 East Huntland Drive, Austin, TX 78752",N/A,Private PK-8
284,Hawthorne Montessori School,"1414 Kramer Lane, Austin, TX 78758",N/A,Private PK-K
285,Casa Montessori Child Development Center,"Po Box 1416, Austin, TX 78767",N/A,Private PK-K
286,Trinity Episcopal School of AU,"3901 Bee Cave Road, Austin, TX 78746",N/A,Private K-8
287,St George's Episcopal School,"4301 South Interstate 35 Frontage Road, Austin, TX 78744",N/A,Private PK
288,Headwaters School,"801 Rio Grande Street, Austin, TX 78701",N/A,Private PK-12
289,Generation 2,"1610 Wheless Lane, Austin, TX 78723",N/A,Private PK
290,International High School,"1012 Arthur Stiles Road, Austin, TX 78721",N/A,Public district 9-12
291,Gus Garcia Young Men's Leadership Academy,"7414 Johnny Morris Road, Austin, TX 78724",N/A,Public district 6-8
292,Acton Academy,"2201 Alexander Avenue, Austin, TX 78722",N/A,Private 2-12
293,Austin St Hospital,"1111 West 6th Street, Austin, TX 78703",N/A,Public district PK-12
294,Travis County State Jail,"8101 Farm to Market 969, Austin, TX 78724",N/A,Public district n/a
295,Jackie's Performing Arts & Private Education,"11530 Manchaca Road, Austin, TX 78748",N/A,Private PK-5
296,Regents School Of Austin,"3230 Travis Country Circle, Austin, TX 78735",N/A,Private K-12
297,Greater Calvary Academy,"6510 Berkman Drive, Austin, TX 78723",N/A,Private K-6
298,San Juan Diego Catholic High School,"800 Herndon Lane, Austin, TX 78704",N/A,Private 8-12
299,Shoreline Christian School,"15201 Burnet Road, Austin, TX 78728",N/A,Private PK-7
300,St. James' Episcopal School,"1941 Webberville Road, Austin, TX 78721",N/A,Private PK-K
301,Griffin School,"5001 Evans Ave., Austin, TX 78751",N/A,Private 9-12
302,Austin Children's Academy,"12310 Ranch Road 620 North, Austin, TX 78750",N/A,Private PK-K
303,Girls' School Of Austin,"2007 McCall Road, Austin, TX 78703",N/A,Private K-8
304,Read Pre-K Demonstration School,"2608 Richcreek Road, Austin, TX 78757",N/A,Public district PK
305,Odyssey School,"4407 Red River Street, Austin, TX 78751",N/A,Private 5-12
306,The Keystone School,"1701 N. Congress Avenue, Austin, TX 78701",N/A,Private 6-12
307,TNS Academy,"3901 Shoal Creek Blvd., Austin, TX 78756",N/A,Private K-5
308,City School,"1844 Teri Rd, Austin, TX 78741",N/A,Private PK-6
309,Capitol School Of Austin,"2011 West Koenig Lane, Austin, TX 78756",N/A,Private PK-4
310,Casner Christian Academy,"3838 Steck Avenue, Austin, TX 78759",N/A,Private PK-1
311,Mount Sinai Christian Academy,"5900 Cameron Road, Austin, TX 78723",N/A,Private PK
312,Boys Menachem Hebrew Academy,"7010 Village Center Dr, Austin, TX 78731",N/A,Private PK-8
313,Rawson Saunders,"2614A Exposition Boulevard, Austin, TX 78703",N/A,Private 1-12
314,Primrose School-Bee Cave,"3801 Juniper Trace, Austin, TX 78738",N/A,Private PK
315,Hyde Park Baptist High School,"11400 North Mopac, Austin, TX 78759",N/A,"Private 6, 9-12"
316,Brentwood Christian Secondary School,"11908 N Lamar Blvd, Austin, TX 78753",N/A,Private 10-12
317,St Paul Mornings W Jesus Child Care Center,"10000 David Moore Drive, Austin, TX 78748",N/A,Private PK
318,Mcbee Extend A Care Dc,"Po Box 6340, Austin, TX 78762",N/A,Private PK-K
319,Bethany Methodist Pre-School,"10010 Anderson Mill Road, Austin, TX 78750",N/A,Private PK
320,Playtime Learning Center,"1006 E 50th St, Austin, TX 78751",N/A,Private PK
321,Ebenezer Head Start,"1010 East 10th Street, Austin, TX 78702",N/A,Private PK
322,St Thomas Mother's Day Out,"10205 North FM 620, Austin, TX 78726",N/A,Private PK
323,Woodland Montessori & Child Care Center,"9707 Anderson Mill Road #350, Austin, TX 78750",N/A,Private PK
324,Mt Olive Lutheran Pre-School,"10408 U.S. 290, Austin, TX 78737",N/A,Private PK
325,Peace Lutheran Pre-School,"10625 N Fm 620, Austin, TX 78726",N/A,Private PK-K
326,Happy Faces Day Care,"10713 F M 620 N, Austin, TX 78726",N/A,Private PK
327,Priscilla Pond Flawn Cc,"1 Univ Station , Austin, TX 78712",N/A,Private PK
328,Mainspring Schools,"1100 W Live Oak, Austin, TX 78704",N/A,Private PK
329,Main Spring Schools,"1100 West Live Oak Street, Austin, TX 78704",N/A,Private PK
330,Children's Courtyard Child Care Center,"11012 Harris Branch Parkway, Austin, TX 78754",N/A,Private PK
331,Kiddie Korner Day Care Center,"1110 Tillery Street, Austin, TX 78702",N/A,Private PK
332,Matteson Group Day Care Home,"11106 Spicewood Club Dr, Austin, TX 78750",N/A,Private PK
333,Aisd Child Development Center Crockett,"1111 West 6th Street, Austin, TX 78703",N/A,Private PK
334,Westoaks Woods Bapt Ch Pre-School,"2900 West Slaughter Lane, Austin, TX 78748",N/A,Private PK
335,Happy Faces Bilingual Cc,"1115 East Saint Johns Avenue, Austin, TX 78752",N/A,Private PK
336,Graham Extend A Care Head Start,"Po Box 6340, Austin, TX 78762",N/A,Private PK
337,Braker Lane Christian Learning,"11300 Hunters Lane, Austin, TX 78753",N/A,Private PK
338,Hope Presbyterian Children's Center,"11512 Olson Drive, Austin, TX 78750",N/A,Private PK
339,Jackies Dance & Gymnastics Dc,"11530 Manchaca Road, Austin, TX 78748",N/A,Private PK
340,Crosstimber Childrens Home,"11603 Crosstimber Dr, Austin, TX 78750",N/A,Private PK
341,Beaverbrook Children's Center,"11726 Jollyville Rd, Austin, TX 78759",N/A,Private PK
342,Abc Child Development Center,"Millwright Parkway, Austin, TX 78750",N/A,Private PK
343,Scooters Learning Center,"1182 Navasota Street, Austin, TX 78702",N/A,Private PK
344,First Foundations Pre-School,"11902 Anderson Mill Road, Austin, TX 78726",N/A,Private PK
345,First United Methodist Pre-School,"1201 Lavaca Street, Austin, TX 78701",N/A,Private PK
346,El Buen Pastor Development Center,"1208 Willow Street, Austin, TX 78702",N/A,Private PK-K
347,Kids Kare,"12200 Mopac, Austin, TX 78758",N/A,Private PK
348,Extend A Care-Summitt,"Po Box 6340, Austin, TX 78762",N/A,Private PK
349,Children's Network,"12223 Cassady Drive, Austin, TX 78727",N/A,Private PK
350,Noah's Ark Learning Center,"1224 Jordan's Crossing, Austin, TX 78753",N/A,Private PK
351,Elochka Child Development Center,"12251 Running Bird Lane, Austin, TX 78758",N/A,Private PK
352,Joy Of Learning Center,"Po Box 82373, Austin, TX 78708",N/A,Private PK
353,Children's Courtyard Child Care Center,"12336 North Mo-pac Expressway, Austin, TX 78758",N/A,Private PK
354,Buttons N Bows Gdh,"12405 Mossy Bark Trail, Austin, TX 78750",N/A,Private PK
355,Vip Pre-School,"12507 Cortaro Cove, Austin, TX 78729",N/A,Private PK
356,Delco Primary YMCA,"12900 Dessau Rd, Austin, TX 78754",N/A,Private PK
357,True Light Day Care,"1300 Fort Branch Blvd, Austin, TX 78721",N/A,Private PK
358,Discovery Years,"1303 West Slaughter Lane, Austin, TX 78748",N/A,Private PK-K
359,St Luke Infant Care Center,"1306 West Lynn Street, Austin, TX 78703",N/A,Private PK
360,Stepping Stone Xi-Seton,"1313 Red River Street, Austin, TX 78701",N/A,Private PK
361,Faith Presbyterian Child Care,"1314 East Oltorf Street, Austin, TX 78704",N/A,Private PK
362,West Austin Youth Cdc,"Po Box 50198, Austin, TX 78763",N/A,Private PK
363,Alpha Omega Early Edu Development Center,"1317 Rosewood Avenue, Austin, TX 78702",N/A,Private PK
364,Kid Space Day Care,"13376 North Highway 183 #112, Austin, TX 78750",N/A,Private PK
365,Faith Montesssori Child Care Center,"13524 Albania Way, Austin, TX 78729",N/A,Private PK
366,Extend A Care Dc-Hornsby,"13901 Farm-to-Market 969, Austin, TX 78724",N/A,Private PK
367,Petite Ecole Internationale,"4520 Burnet Rd, Austin, TX 78756",N/A,Private PK
368,United Methodist Pre-School,"1502 Ranch to Market 620, Austin, TX 78734",N/A,Private PK
369,Promiseland Learning School,"1504 East 51st Street, Austin, TX 78723",N/A,Private PK
370,Rosewood Oaks Primary,"1507 Lavaca Street, Austin, TX 78701",N/A,Private PK
371,Kids R Kids 33 Day Care,"15111 Avery Ranch Boulevard, Austin, TX 78717",N/A,Private PK
372,Shoreline Christian School,"15201 Burnet Road, Austin, TX 78728",N/A,Private PK
373,A Step Ahead Childcare & Lc,"12041 Dessau Road #1009, Austin, TX 78754",N/A,Private PK
374,Green Hills Child Care Center,"15409 Fm 620 N, Austin, TX 78717",N/A,Private PK
375,Jazz & Gym Day Care,"15506 Clara Van St, Austin, TX 78734",N/A,Private PK
376,Acc-Garza Child Development,"1600 Chicon Street, Austin, TX 78702",N/A,Private PK
377,Ymca Day Care-Saill,"1611 Headway Circle, Austin, TX 78754",N/A,Private PK
378,Live Oak Community Montessori,"16201 Pool Canyon Rd, Austin, TX 78734",N/A,Private PK
379,Growing Imaginations Lc,"1711 Fortview Road, Austin, TX 78704",N/A,Private PK
380,Infant-Parent Program-Eci,"1717 West 10th Street, Austin, TX 78703",N/A,Private PK
381,Open Door Central Pre-School,"1717 West 10th Street, Austin, TX 78703",N/A,Private PK
382,Austins Imagination Station Lc,"1805 Camas Drive, Austin, TX 78728",N/A,Private PK
383,Children's World Learning Center 599,"1921 Cedar Bend Drive, Austin, TX 78758",N/A,Private PK
384,House Of Little Angels,"735 Turtle Creek Boulevard, Austin, TX 78745",N/A,Private PK
385,Advantage Preparatory School,"1908 Chicon St, Austin, TX 78722",N/A,Private PK
386,Gethsemane Lutheran Child Care,"200 West Anderson Lane, Austin, TX 78752",N/A,Private PK
387,Baptist Community Center,"2000 East 2nd Street, Austin, TX 78702",N/A,Private PK
388,Stepping Stone 5 Day Care,"1910 Justin Lane, Austin, TX 78757",N/A,Private PK
389,Travis Hts Extend A Day Care,"2010 Alameda Drive, Austin, TX 78704",N/A,Private PK
390,Capital School of Austin,"2011 W Koenig Ln, Austin, TX 78756",N/A,Private PK
391,Escuela Montessori De Montopol,"2013 Montopolis Drive, Austin, TX 78741",N/A,Private PK
392,Little Dude's Learning Center,"Po Box 18027, Austin, TX 78760",N/A,Private PK
393,Southside Day Care,"208 E Live Oak St, Austin, TX 78704",N/A,Private PK
394,Extend A Care-Baty,"2101 Faro Drive, Austin, TX 78741",N/A,Private PK
395,University Baptist Child Development Center,"2107 San Antonio St, Austin, TX 78705",N/A,Private PK
396,Park Bend Health Child Care Center,"2122 Park Bend Dr, Austin, TX 78758",N/A,Private PK
397,St Mark's Episcopal Day School,"2128 Barton Hills Drive, Austin, TX 78704",N/A,Private PK
398,Escuelita Del Alma Learning Center,"3109 North Interstate Highway 35, Austin, TX 78722",N/A,Private PK
399,Lakeway Church Christian Pre-School,"2203 Lakeway Boulevard, Austin, TX 78734",N/A,Private PK
400,University Of Texas Cdc,"2205 Comal Street, Austin, TX 78722",N/A,Private PK
401,Langford Extend A Care Dc,"2206 Blue Meadow Drive, Austin, TX 78744",N/A,Private PK
402,All Austin Coop Nursery School,"2301 Hancock Drive, Austin, TX 78756",N/A,Private PK
403,Berkeley Methodist Child Care,"2407 Berkeley Avenue, Austin, TX 78745",N/A,Private PK
404,Uumc Early Childhood Center,"2409 Guadalupe Street, Austin, TX 78705",N/A,Private PK
405,Sammys House Child Development Center,"2415 Twin Oaks Drive, Austin, TX 78757",N/A,Private PK
406,First Class Child Devt Center,"2505 Lark Glen Lane, Austin, TX 78748",N/A,Private PK
407,South Austin Head Start,"2508 Durwood Street, Austin, TX 78704",N/A,Private PK
408,Kid's Are First,"2515 and 2517 Enfield Rd, Austin, TX 78703",N/A,Private PK
409,Childs Day,"2525 Wallingwood Drive #100, Austin, TX 78746",N/A,Private PK
410,New Generation Day Care,"2600 South 1st Street, Austin, TX 78704",N/A,Private PK
411,Tarrytown Baptist Pre-School,"2601 Exposition Blvd, Austin, TX 78703",N/A,Private PK
412,Esther's Day Care,"2601 Rogge Ln, Austin, TX 78723",N/A,Private PK
413,Extend A Care-Campbell,"Po Box 6340, Austin, TX 78762",N/A,Private PK
414,Faith United Methodist Pre-School,"2701 South Lamar Boulevard, Austin, TX 78704",N/A,Private PK
415,Harte-Hanks Child Care,"2800 Wells Branch Parkway, Austin, TX 78728",N/A,Private PK
416,Habibi's Hutch Natural Child,"2004 Bert Avenue, Austin, TX 78704",N/A,Private PK
417,First English Luth Child Center,"3001 Whitis Avenue, Austin, TX 78705",N/A,Private PK
418,Covenant Cooperative Pre-School,"3003 Northland Drive, Austin, TX 78757",N/A,Private PK
419,Soraya's Child Care,"3012 Portola Court, Austin, TX 78738",N/A,Private PK
420,St David's Episcopal Day Schoo,"301 East 8th Street, Austin, TX 78701",N/A,Private PK-K
421,Sunshine Learning Center,"7202 Dee Street, Austin, TX 78745",N/A,Private PK
422,Star Montessori,"3101 Howard Lane, Austin, TX 78728",N/A,Private PK
423,Westminster Presbyterian Day School,"3208 Exposition Boulevard, Austin, TX 78703",N/A,Private PK
424,Eanes Child Development Center,"3301 Pinnacle Road, Austin, TX 78746",N/A,Private PK
425,Austin Community College Child,"5930 Middle Fiskville Road, Austin, TX 78752",N/A,Private PK
426,Butterfly Christian Pre-School,"3525 Bee Caves Road, Austin, TX 78746",N/A,Private PK
427,St James Episcopal School,"1941 Webberville Road, Austin, TX 78721",N/A,Private PK-K
428,Bethany Lutheran Pre-School,"3701 West Slaughter Lane, Austin, TX 78749",N/A,Private PK
429,Town and Country Montessori,"3801 Keats Dr, Austin, TX 78704",N/A,Private PK
430,Town & Country Children's Mont,"3801 Keats Drive, Austin, TX 78704",N/A,Private PK-K
431,Future Stars Child Development Center,"3819 S Interstate 35, Austin, TX 78741",N/A,Private PK
432,Starbright Pre-School,"3900 Valley View Road, Austin, TX 78704",N/A,Private PK
433,Mrs Bolins Day Care,"3901 Peak Lookout Drive, Austin, TX 78738",N/A,Private PK
434,Child Development Center,"3901 Shoal Creek Boulevard, Austin, TX 78756",N/A,Private PK
435,Aisd-Barrington Child Care Center,"400 Cooper Drive, Austin, TX 78753",N/A,Private PK
436,Roz-Mina Montessori,"4001 Manchaca Road, Austin, TX 78704",N/A,Private PK
437,Elsass Academy-Westlake,"4015 Bee Caves Road, Austin, TX 78746",N/A,Private PK
438,Extend A Care-Reilly,"405 Denson Drive, Austin, TX 78752",N/A,Private PK
439,St John's Lutheran Child Care,"409 West Ben White Boulevard, Austin, TX 78704",N/A,Private PK
440,Casa Montessori Child Development,"40b Atlantic Street, Austin, TX 78703",N/A,Private PK
441,Extend A Care-Norman,"4101 Tannehill Lane, Austin, TX 78721",N/A,Private PK
442,Children's Discovery Center,"4112 Duval Street, Austin, TX 78751",N/A,Private PK-K
443,Riverbend Christian School Cdc,"4214 North Capital of Texas Highway, Austin, TX 78746",N/A,Private PK
444,Childrens Center -Austin,"4308 North Quinlan Park Road #100, Austin, TX 78732",N/A,Private PK
445,Convenant United Methodist,"4410 Duval Road, Austin, TX 78727",N/A,Private PK
446,Woodlawn Baptist Child Development Center,"4600 Manchaca Rd, Austin, TX 78745",N/A,Private PK
447,Appletree Learning Center,"4630 West Gate Boulevard, Austin, TX 78745",N/A,Private PK
448,Stepping Stone Pre-School Xvii,"4900 Mueller Boulevard, Austin, TX 78723",N/A,Private PK
449,Little Dudes-Maufrais,"Po Box 18027, Austin, TX 78760",N/A,Private PK
450,Ofelia's Day Care Center,"5003 Allyson Court, Austin, TX 78744",N/A,Private PK
451,Little People Development Center,"5006 Crestmont Drive, Austin, TX 78756",N/A,Private PK
452,Dessau's Little Feet Child Care Center,"508 E Howard Ln, Austin, TX 78753",N/A,Private PK
453,Lil Darling's South Day Care,"510 Clarke St, Austin, TX 78745",N/A,Private PK
454,Lala's Day Care,"510 Powell Circle, Austin, TX 78704",N/A,Private PK
455,Marywood Child Development Center,"510 W 26th St, Austin, TX 78705",N/A,Private PK
456,Child Inc Dove Springs Eec,"5106 Village Square Drive, Austin, TX 78744",N/A,Private PK
457,Light of the World Child Development Center,"519 Thompson Ln, Austin, TX 78742",N/A,Private PK
458,Shephard Hills Presbyterian Pre-School,"5226 West William Cannon Drive, Austin, TX 78749",N/A,Private PK
459,Houston Extend A Care Dc,"5409 Ponciana Drive, Austin, TX 78744",N/A,Private PK
460,Widen-Extend-A Care,"Po Box 6340, Austin, TX 78762",N/A,Private PK
461,Barton Creek Child Development Center,"5805 Travis Cook Road, Austin, TX 78735",N/A,Private PK
462,Barton Creek Child Development Center,"5611 Travis Cook Rd, Austin, TX 78735",N/A,Private PK
463,Little Red Schoolhouse,"5621 Emerald Forest Dr, Austin, TX 78745",N/A,Private PK
464,Little Folk's Nursery,"Po Box 141665, Austin, TX 78714",N/A,Private PK
465,Happy Kids Day Care,"5709 Manor Road, Austin, TX 78723",N/A,Private PK
466,Trinity Presbyterian Child Development Center,"5801 Westminster Drive, Austin, TX 78723",N/A,Private PK
467,Skybridge Academy,"13317 Fitzhugh Rd, Austin, TX 78736",N/A,Private 6-12
468,Little Blessings Day Care Center,"5804 Brook Valley Drive, Austin, TX 78724",N/A,Private PK
469,Coburn's Family Day Care,"5805 Sierra Madre, Austin, TX 78759",N/A,Private PK
470,Children's Courtyard Child Care Center,"5914 West William Cannon Drive, Austin, TX 78749",N/A,Private PK
471,Circle C Child Development Center,"5917 La Crosse Avenue, Austin, TX 78739",N/A,Private PK
472,Lake Hills Montessori,"600 Cuernavaca Drive North, Austin, TX 78733",N/A,Private PK-K
473,Little Angel's Day Care,"6006 Cameron Road, Austin, TX 78723",N/A,Private PK
474,St Marks Children's Day Out,"601 West Braker Lane, Austin, TX 78753",N/A,Private PK
475,Emerald Wood Kindercare,"610 Emerald Wood Drive, Austin, TX 78745",N/A,Private PK
476,Wesley School,"6100 Berkman Drive, Austin, TX 78723",N/A,Private PK
477,Oak Hill Extend A Care Dc,"Po Box 6340, Austin, TX 78762",N/A,Private PK-K
478,Spicewood Country School,"6102 Spicewood Springs Road, Austin, TX 78759",N/A,Private PK
479,Bright Horizons,"9117 Lantana Way, Austin, TX 78749",N/A,Private PK
480,Seek & Say Enrichment Dcc,"6123 Farm-to-Market 969, Austin, TX 78724",N/A,Private PK-K
481,Ymca-Pre-School,"6219 Oakclaire Drive, Austin, TX 78735",N/A,Private PK
482,Whitebird Montessori School,"9000 Manchaca Road, Austin, TX 78748",N/A,Private PK-K
